county,pop,persons per household,persons 65 and over,households w computers,households w Internet,persons w out health ins,median household income,persons in poverty,pop per sq mile
Kankakee IL,109862,2.63,0.173,0.861,0.765,0.066,57981,0.162,167.7
Jackson IL,56750,2.28,0.163,0.874,0.755,0.082,37802,0.257,103.1
Iroquois IL,27114,2.35,0.22,0.84,0.774,0.073,51825,0.099,26.6
Henry IL,48913,2.43,0.209,0.833,0.743,0.061,57250,0.115,61.3
Grundy IL,51054,2.59,0.146,0.909,0.826,0.046,74140,0.059,119.8
Madison IL,262966,2.42,0.176,0.875,0.813,0.061,57890,0.138,376.3
McHenry IL,307774,2.74,0.152,0.942,0.905,0.068,84803,0.059,511.9
McDonough IL,29682,2.42,0.181,0.849,0.742,0.074,43724,0.219,55.3
LaSalle IL,108669,2.40,0.194,0.862,0.803,0.064,56243,0.136,100.4
Lake IL,696535,2.80,0.148,0.932,0.885,0.074,86244,0.08,1,585.6
Knox IL,49699,2.25,0.219,0.805,0.716,0.066,43709,0.164,73.9
Warren IL,16844,2.42,0.202,0.867,0.787,0.073,49607,0.129,32.6
Stephenson IL,44498,2.28,0.234,0.842,0.769,0.062,48016,0.127,84.5
Rock Island IL,141879,2.33,0.198,0.861,0.783,0.07,52630,0.142,345.0
Randolph IL,31782,2.39,0.194,0.824,0.73,0.06,52107,0.138,58.2
Peoria IL,179179,2.43,0.176,0.862,0.756,0.069,54770,0.166,301.2
Ogle IL,50643,2.43,0.192,0.881,0.788,0.075,59707,0.084,70.5
Clinton IN,32399,2.64,0.168,0.874,0.75,0.118,52488,0.119,82.0
Bartholomew IN,83779,2.56,0.165,0.864,0.771,0.096,59045,0.101,188.7
Allen IN,379299,2.54,0.149,0.893,0.807,0.103,53402,0.135,540.6
Williamson IL,66597,2.41,0.195,0.814,0.74,0.062,49053,0.144,157.9
Will IL,690743,2.98,0.135,0.931,0.877,0.06,83504,0.064,809.6
Whiteside IL,55175,2.37,0.213,0.855,0.789,0.063,53828,0.105,85.5
Hancock IN,78168,2.59,0.165,0.926,0.839,0.073,73142,0.056,228.8
Grant IN,65769,2.36,0.194,0.84,0.69,0.086,42593,0.199,169.2
Elkhart IN,206341,2.77,0.151,0.849,0.77,0.15,55399,0.115,426.5
Delaware IN,114135,2.35,0.175,0.875,0.762,0.094,42705,0.225,300.1
Decatur IN,26559,2.51,0.174,0.864,0.718,0.078,54622,0.117,69.1
Daviess IN,33351,2.83,0.154,0.757,0.655,0.173,51032,0.115,73.7
Kosciusko IN,79456,2.52,0.173,0.884,0.773,0.114,58402,0.09,145.6
Jasper IN,33562,2.60,0.181,0.872,0.79,0.096,59574,0.094,59.8
Jackson IN,44231,2.58,0.166,0.819,0.726,0.105,49506,0.12,83.2
Howard IN,82544,2.35,0.199,0.866,0.762,0.081,50869,0.123,282.4
Henry IN,47972,2.45,0.193,0.826,0.708,0.081,48235,0.144,126.2
Harrison IN,40515,2.70,0.181,0.863,0.708,0.083,57132,0.093,81.2
Marshall IN,46258,2.66,0.183,0.824,0.698,0.127,54229,0.115,106.1
Marion IN,964582,2.51,0.129,0.855,0.765,0.12,46692,0.172,2,279.6
Madison IN,129569,2.40,0.187,0.854,0.774,0.09,47436,0.17,291.3
Lawrence IN,45370,2.43,0.206,0.82,0.724,0.093,52092,0.125,102.7
Lake IN,485493,2.59,0.169,0.858,0.773,0.088,54249,0.157,994.1
LaGrange IN,39614,3.20,0.139,0.662,0.585,0.255,60675,0.078,97.8
Ripley IN,28324,2.50,0.183,0.856,0.739,0.092,56295,0.111,64.6
Randolph IN,24665,2.36,0.208,0.848,0.719,0.105,45601,0.136,57.9
Perry IN,19169,2.34,0.19,0.792,0.703,0.078,51064,0.124,50.7
Morgan IN,70489,2.65,0.173,0.888,0.784,0.085,62462,0.106,170.5
Montgomery IN,38338,2.42,0.183,0.882,0.782,0.095,53610,0.108,75.6
Monroe IN,148431,2.35,0.136,0.929,0.828,0.098,47075,0.214,349.7
Warrick IN,62998,2.52,0.179,0.908,0.827,0.069,70648,0.071,155.1
Vigo IN,107038,2.36,0.167,0.866,0.767,0.099,43859,0.192,267.4
Vanderburgh IN,181451,2.32,0.174,0.871,0.779,0.096,46943,0.151,769.7
Starke IN,22995,2.62,0.19,0.832,0.71,0.1,48895,0.11,75.6
Scott IN,23873,2.59,0.171,0.81,0.664,0.087,47123,0.155,127.0
Rush IN,16581,2.45,0.187,0.829,0.63,0.103,50535,0.107,42.6
Black Hawk IA,131228,2.41,0.169,0.871,0.791,0.055,52688,0.163,231.7
Benton IN,8748,2.51,0.18,0.881,0.738,0.103,46188,0.115,21.8
Allamakee IA,13687,2.27,0.235,0.804,0.706,0.092,51057,0.117,22.4
Whitley IN,33964,2.45,0.185,0.9,0.78,0.082,61153,0.071,99.2
White IN,24102,2.45,0.203,0.871,0.766,0.116,55086,0.085,48.8
Wayne IN,65884,2.40,0.195,0.845,0.69,0.107,44228,0.16,171.5
