"V1","location_name","date","location_id","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
4980,"Arizona","2020-04-27",525,0,0,0,275,275,275,14.10295875273,14.10295875273,14.10295875273,285.061048347789,285.061048347789,285.061048347789,"observed",-44.34373,"observed",2127.69490680588,190.999999999999,,,
4981,"Arizona","2020-04-28",525,0,0,0,275,275,275,14.741111057868,14.741111057868,14.741111057868,299.802159405657,299.802159405657,299.802159405657,"observed",-43.9375,"observed",2259.7929607871,229.999999999999,,,
4982,"Arizona","2020-04-29",525,33,33,33,308,308,308,15.39999676542,15.39999676542,15.39999676542,315.202156171077,315.202156171077,315.202156171077,"observed",-43.53743,"observed",2406.81052949052,254,,,
4983,"Arizona","2020-04-30",525,12,12,12,320,320,320,16.068385760198,16.068385760198,16.068385760198,331.270541931275,331.270541931275,331.270541931275,"observed",-43.17159,"observed",2569.6215008964,446.000000000003,,,
4984,"Arizona","2020-05-01",525,10,10,10,330,330,330,16.734605051564,16.734605051564,16.734605051564,348.005146982839,348.005146982839,348.005146982839,"observed",-42.86371,"observed",2749.88073505426,313.999999999995,,,
4985,"Arizona","2020-05-02",525,18,18,18,348,348,348,17.387925076392,17.387925076392,17.387925076392,365.393072059231,365.393072059231,365.393072059231,"observed",-42.62964,"observed",2948.66667165054,395,,,
4986,"Arizona","2020-05-03",525,14,14,14,362,362,362,18.017091158801,18.017091158801,18.017091158801,383.410163218032,383.410163218032,383.410163218032,"observed",-42.47328,"observed",3165.13711293875,276,,,
4987,"Arizona","2020-05-04",525,0,0,0,362,362,362,18.610130427076,18.610130427076,18.610130427076,402.020293645108,402.020293645108,402.020293645108,"observed",-42.38189,"observed",3395.91173127359,284.000000000002,,,
4988,"Arizona","2020-05-05",525,33,33,33,395,395,395,19.155339838302,19.155339838302,19.155339838302,421.17563348341,421.17563348341,421.17563348341,"observed",-42.32632,"observed",3635.43477353689,381.000000000002,,,
4989,"Arizona","2020-05-06",525,31,31,31,426,426,426,19.643254168175,19.643254168175,19.643254168175,440.818887651585,440.818887651585,440.818887651585,"observed",-42.26811,"observed",3877.08697168694,402.000000000002,,,
4990,"Arizona","2020-05-07",525,24,24,24,450,450,450,20.065520556303,20.065520556303,20.065520556303,460.884408207888,460.884408207888,460.884408207888,"observed",-42.16737,"observed",4114.53533966924,238,,,
4991,"Arizona","2020-05-08",525,67,67,67,517,517,517,20.415136011817,20.415136011817,20.415136011817,481.299544219705,481.299544219705,481.299544219705,"observed",-41.9887,"observed",4342.79963050132,580.999999999996,,,
4992,"Arizona","2020-05-09",525,15,15,15,532,532,532,20.686501820848,20.686501820848,20.686501820848,501.986046040553,501.986046040553,501.986046040553,"observed",-41.70353,"observed",4558.58380905395,433.999999999996,,,
4993,"Arizona","2020-05-10",525,4,4,4,536,536,536,20.87616264185,20.87616264185,20.87616264185,522.862208682403,522.862208682403,522.862208682403,"observed",-41.28888,"observed",4759.56972715207,159.000000000005,,,
4994,"Arizona","2020-05-11",525,6,6,6,542,542,542,20.984211086871,20.984211086871,20.984211086871,543.846419769274,543.846419769274,543.846419769274,"observed",-40.72398,"observed",4942.72759333488,264.000000000002,,,
4995,"Arizona","2020-05-12",525,20,20,20,562,562,562,21.014031479918,21.014031479918,21.014031479918,564.860451249192,564.860451249192,564.860451249192,"observed",-39.99379,"observed",5102.37473699771,352.999999999996,,,
4996,"Arizona","2020-05-13",525,33,33,33,595,595,595,20.970482918901,20.970482918901,20.970482918901,585.830934168093,585.830934168093,585.830934168093,"observed",-39.09726,"observed",5229.34295313884,480.000000000004,,,
4997,"Arizona","2020-05-14",525,29,29,29,624,624,624,20.85917721678,20.85917721678,20.85917721678,606.690111384873,606.690111384873,606.690111384873,"observed",-38.0502,"observed",5312.5102658246,457.999999999995,,,
4998,"Arizona","2020-05-15",525,27,27,27,651,651,651,20.686768184101,20.686768184101,20.686768184101,627.376879568974,627.376879568974,627.376879568974,"observed",-36.88628,"observed",5342.76528622906,495.000000000007,,,
4999,"Arizona","2020-05-16",525,28,28,28,679,679,679,20.461898138407,20.461898138407,20.461898138407,647.838777707381,647.838777707381,647.838777707381,"observed",-35.65851,"observed",5317.712358371,496.999999999995,,,
5000,"Arizona","2020-05-17",525,1,1,1,680,680,680,20.193925984721,20.193925984721,20.193925984721,668.032703692102,668.032703692102,668.032703692102,"observed",-34.43568,"observed",5244.58652241169,279.000000000002,,,
5001,"Arizona","2020-05-18",525,7,7,7,687,687,687,19.892186282547,19.892186282547,19.892186282547,687.924889974649,687.924889974649,687.924889974649,"observed",-33.29241,"observed",5139.76139733745,263.000000000005,,,
5002,"Arizona","2020-05-19",525,18,18,18,705,705,705,19.565794044113,19.565794044113,19.565794044113,707.490684018762,707.490684018762,707.490684018762,"observed",-32.29765,"observed",5025.27681102661,367.999999999996,,,
5003,"Arizona","2020-05-20",525,42,42,42,747,747,747,19.2237017260931,19.2237017260931,19.2237017260931,726.714385744855,726.714385744855,726.714385744855,"observed",-31.50565,"observed",4924.10561074157,329.999999999996,,,
5004,"Arizona","2020-05-21",525,17,17,17,764,764,764,18.876360135353,18.876360135353,18.876360135353,745.590745880208,745.590745880208,745.590745880208,"observed",-30.9482,"observed",4855.86483027821,441.999999999998,,,
5005,"Arizona","2020-05-22",525,11,11,11,775,775,775,18.534903838327,18.534903838327,18.534903838327,764.125649718535,764.125649718535,764.125649718535,"observed",-30.62918,"observed",4833.87111776632,276.000000000005,,,
5006,"Arizona","2020-05-23",525,24,24,24,799,799,799,18.209039861184,18.209039861184,18.209039861184,782.334689579719,782.334689579719,782.334689579719,"observed",-30.52397,"observed",4863.9222260742,428.999999999998,,,
5007,"Arizona","2020-05-24",525,1,1,1,800,800,800,17.90743069564,17.90743069564,17.90743069564,800.242120275359,800.242120275359,800.242120275359,"observed",-30.58172,"observed",4944.91983116174,324,,,
5008,"Arizona","2020-05-25",525,6,6,6,806,806,806,17.63764752131,17.63764752131,17.63764752131,817.879767796669,817.879767796669,817.879767796669,"observed",-30.72196,"observed",5071.2521923613,198.000000000002,,,
5009,"Arizona","2020-05-26",525,1,1,1,807,807,807,17.4060012673051,17.4060012673051,17.4060012673051,835.285769063974,835.285769063974,835.285769063974,"observed",-30.851,"observed",5236.23944129543,288.999999999989,,,
5010,"Arizona","2020-05-27",525,27,27,27,834,834,834,17.216793084706,17.216793084706,17.216793084706,852.50256214868,852.50256214868,852.50256214868,"observed",-30.89935,"observed",5435.26340837087,454.000000000007,,,
5011,"Arizona","2020-05-28",525,26,26,26,860,860,860,17.073480381639,17.073480381639,17.073480381639,869.576042530319,869.576042530319,869.576042530319,"observed",-30.83102,"observed",5667.03731195102,558.999999999996,,,
